,Account Email, YouTube Channel, Subscriber Count
0,test_1@gmail.com,UCWBKJ1RNeKTPII34pc6UyUg,28443
1,test_2@gmail.com,5OXObSqKlu01WtG0GTUq2g,13
2,test_3@gmail.com,7iTbphgUFuJarHcAHMGduQ,1365
3,test_4@gmail.com,http://www.youtube.com/channel/UCe09gaA8UCiamw0RQaHuHJw,5
4,test_5@gmail.com,https://www.youtube.com/channel/UClELwfTibQ78MAVyVi6twCg,1477
5,test_6@gmail.com,https://www.youtube.com/channel/UC1OFDlfdRb6ma1ZGZd07gWA,3590503
6,test_7@gmail.com,https://www.youtube.com/channel/UCfHRX7ihY8WnSV53NnpKOvQ,54065
7,test_8@gmail.com,6cf7Ad_qowX9qeQfD5dT8g,2831
8,test_9@gmail.com,tIRU_vvyQmUADgAt31n7Xg,564
9,test_10@gmail.com,Qv9Wo4D2g8tMhH3lGcxiWg,282
10,test_11@gmail.com,s4cgIKR4SfglgNQGARgsHA,56632
11,test_12@gmail.com,kRkD16_ps8mZvkZHnby5oA,26582
12,test_13@gmail.com,pfLKSzjkVsBqIHNbl8Mz6A,428
13,test_14@gmail.com,oG6lsYx4dhedb0ZjL2O_HQ,5495
14,test_15@gmail.com,http://youtube.com/channel/UCXApAnHLoStKPlFR9_KoBKw,6
15,test_16@gmail.com,1eyHg00NjjbFMeF9Ol1Zew,29126
16,test_17@gmail.com,http://www.youtube.com/channel/UCGfVjOZE8TTR6L1ylG6lHSg,8366
17,test_18@gmail.com,RJ-d6DiO6raIEddFnlrubQ,132
18,test_19@gmail.com,q6N_kqiCjE-KqDmoWgXKYA,26
19,test_20@gmail.com,33PJanBSN4WfosXHVkA9_A,2371
20,test_21@gmail.com,B5ZnX_2hTTP5tTuPmOk3uA,344
21,test_22@gmail.com,A8E2__IHw9UZhEeHrTEnJA,339
22,test_23@gmail.com,UCfmVQFPh1KVkCvuvQjnRrxA,42953
23,test_24@gmail.com,OiVONk5g_VCxXtP2som4yA,172
24,test_25@gmail.com,ZNw2suHUu1t9NyHB0DolbA,10
25,test_26@gmail.com,ZtvdCKWWq8AkTZW1RXpy1A,"2,216"
26,test_27@gmail.com,http://www.youtube.com/channel/UCJCM8kLrPjgPcEJEuIV-ELw,1402
27,test_28@gmail.com,http://www.youtube.com/channel/UCDi_A4XTSiD5hCO3-6R6OqA,2570
28,test_29@gmail.com,tUCA0-v2fjxOOPyA84nJlg,1434
29,test_30@gmail.com,5ZiUupQKOcEx1gvShKS6Bg,688
30,test_31@gmail.com,UCzSS4r4fkYgvXL6bWCRwegg,25
31,test_32@gmail.com,fq9aGE_r1TvTfYWpxEI0_Q,180
32,test_33@gmail.com,youtube.com/channel/UC6WLScIs2J8VnFulIn79Nfw,534
33,test_34@gmail.com,http://www.youtube.com/channel/UC8bKzySZjA4Eiir7JvBSkEg,89
34,test_35@gmail.com,youtube.com/channel/UCQeUfLM907YOxA_9_jIiung,1076
35,test_36@gmail.com,http://www.youtube.com/channel/UCb95qCSx8rO7U0P0oE6RcvA,503
36,test_37@gmail.com,w53zi4ftVPYpqKTQUoxfKw,254
37,test_38@gmail.com,uyFiGMNqQo-nfBX5jY5ZOA,20
38,test_39@gmail.com,KPsyZ9KQiXktdGK2jRaTwQ,301
39,test_40@gmail.com,GfCFvRsJfXXgPD1wfrI9wA,644
40,test_41@gmail.com,e7gOaF5-tH7I3NocgLnhAA,21507
41,test_42@gmail.com,jXe6LuyALURdEdRBOn8C5A,286
42,test_43@gmail.com,cLDyZ4ESTq6TQGbc2M1Zig,112
43,test_44@gmail.com,-Zh14hU-5p58lilWNwyQlg,33
44,test_45@gmail.com,YLCka_OXQZtoBJZ5pW9sFg,2000
45,test_46@gmail.com,_lpDjhfkyaAr1Fd6AoMXQw,10
46,test_47@gmail.com,UCEL6PQjvKuk2-6sTaUmub8A,89
47,test_48@gmail.com,sbo6gAIwSELM1vApwRw4ng,244
48,test_49@gmail.com,X0ZEkd41kOTZ_2qRHViSQw,54
49,test_50@gmail.com,http://www.youtube.com/channel/UCsR5ZMY4gyAuCUTMkxPocrQ,4
50,test_51@gmail.com,v3jmHLil11QvVzXxm18KHg,59
51,test_52@gmail.com,hJbZilh7YcrnajYJ-gsLqw,84
52,test_53@gmail.com,Cnms8EieLvB6oNLXBgIGNQ,138902
53,test_54@gmail.com,tTIo7Mi2KuZTwoCys4Cdhw,1
54,test_55@gmail.com,KjvSEotHjQFYjRwCWJGSdQ,5
55,test_56@gmail.com,YVAY2qVpaIzVWA56nIkJtA,766
56,test_57@gmail.com,Phv_Fz6YkjqbWI11IhScOQ,89
57,test_58@gmail.com,UCiQ4x3FbxB9yPETGlvevbJQ,246
58,test_59@gmail.com,http://youtube.com/channel/UCg0zJnmieAtkq0evFcgt97w,29
59,test_60@gmail.com,054PSI_p4hjVVQUUWTxv4Q,"19,223"
